300000795,54,"HIGH"
300000796,10,"HIGH"
300000797,25,"LOW"
300000798,61,"LOW"
300000799,57,"HIGH"
300000800,59,"HIGH"
300000801,52,"LOW"
300000802,131,"LOW"
300000803,53,"LOW"
300000804,43,"LOW"
300000805,47,"LOW"
300000806,47,"LOW"
300000807,21,"HIGH"
300000808,52,"LOW"
300000809,52,"LOW"
300000810,128,"HIGH"
300000811,11,"LOW"
300000812,47,"HIGH"
300000813,47,"LOW"
300000814,128,"HIGH"
300000815,128,"HIGH"
300000816,128,"HIGH"
300000817,131,"LOW"
300000818,48,"LOW"
300000819,52,"LOW"
300000819,58,"LOW"
300000820,52,"LOW"
300000820,58,"LOW"
300000821,137,"LOW"
300000822,53,"LOW"
300000823,52,"LOW"
300000824,52,"LOW"
300000825,53,"LOW"
300000826,53,"LOW"
300000827,28,"LOW"
300000828,134,"HIGH"
300000829,52,"LOW"
300000830,25,"LOW"
300000831,53,"LOW"
300000832,47,"LOW"
300000833,128,"HIGH"
300000834,62,"HIGH"
300000835,42,"LOW"
300000836,25,"LOW"
300000837,46,"LOW"
300000838,25,"LOW"
300000839,25,"LOW"
300000840,53,"HIGH"
300000841,52,"LOW"
300000842,65,"HIGH"
300000843,36,"LOW"
300000844,49,"LOW"
300000845,62,"HIGH"
300000846,48,"LOW"
300000847,58,"LOW"
300000848,33,"HIGH"
300000849,131,"LOW"
300000850,67,"HIGH"
300000851,48,"LOW"
300000852,67,"HIGH"
300000853,49,"LOW"
300000854,58,"LOW"
300000855,49,"LOW"
300000856,47,"LOW"
300000857,18,"HIGH"
300000858,52,"LOW"
300000859,39,"LOW"
300000860,129,"HIGH"
300000861,57,"HIGH"
300000862,14,"HIGH"
300000863,131,"LOW"
300000864,131,"LOW"
300000865,43,"LOW"
300000866,25,"LOW"
300000867,131,"LOW"
300000868,53,"LOW"
300000869,129,"HIGH"
300000870,129,"HIGH"
300000871,28,"HIGH"
300000872,129,"HIGH"
300000873,129,"HIGH"
300000874,129,"HIGH"
300000875,129,"HIGH"
300000876,129,"HIGH"
300000877,25,"LOW"
300000878,129,"HIGH"
300000879,51,"HIGH"
300000880,57,"HIGH"
300000881,52,"LOW"
300000882,131,"LOW"
300000883,57,"HIGH"
300000884,128,"HIGH"
300000885,52,"LOW"
300000886,54,"HIGH"
300000887,57,"HIGH"
300000888,27,"LOW"
300000889,136,"LOW"
300000890,54,"LOW"
300000891,31,"HIGH"
300000892,25,"LOW"
300000893,33,"HIGH"
300000894,33,"HIGH"
300000895,52,"LOW"
300000896,18,"HIGH"
300000897,18,"HIGH"
300000898,135,"HIGH"
300000899,27,"LOW"
300000900,136,"HIGH"
300000901,14,"HIGH"
300000902,131,"LOW"
300000903,53,"LOW"
300000904,18,"HIGH"
300000905,52,"LOW"
300000905,58,"LOW"
300000906,57,"HIGH"
300000907,25,"LOW"
300000908,52,"LOW"
300000909,33,"HIGH"
300000910,131,"LOW"
300000911,49,"LOW"
300000912,57,"HIGH"
300000913,136,"HIGH"
300000914,128,"HIGH"
300000915,52,"LOW"
300000916,52,"LOW"
300000917,52,"LOW"
300000918,128,"HIGH"
300000919,61,"LOW"
300000920,132,"HIGH"
300000921,44,"HIGH"
300000922,129,"HIGH"
300000923,131,"LOW"
300000924,128,"HIGH"
300000925,10,"HIGH"
300000926,57,"HIGH"
300000927,51,"LOW"
300000928,67,"HIGH"
300000929,59,"LOW"
300000930,36,"LOW"
300000931,47,"LOW"
300000932,52,"HIGH"
300000933,18,"HIGH"
300000934,18,"HIGH"
300000935,31,"HIGH"
300000936,15,"HIGH"
300000937,15,"LOW"
300000938,22,"HIGH"
300000939,52,"LOW"
300000940,14,"HIGH"
300000941,132,"HIGH"
300000942,52,"LOW"
300000943,65,"HIGH"
300000944,11,"LOW"
300000945,130,"HIGH"
300000946,10,"HIGH"
300000947,53,"LOW"
300000948,25,"LOW"
300000949,57,"HIGH"
300000950,57,"HIGH"
300000951,52,"LOW"
300000952,131,"LOW"
300000953,25,"LOW"
300000954,43,"LOW"
300000955,131,"LOW"
300000956,39,"LOW"
300000957,62,"LOW"
300000958,52,"LOW"
300000959,62,"LOW"
300000960,43,"LOW"
300000961,62,"HIGH"
300000962,131,"LOW"
300000963,27,"LOW"
300000964,39,"LOW"
300000965,128,"HIGH"
300000966,52,"LOW"
300000967,14,"HIGH"
300000968,131,"LOW"
300000969,131,"LOW"
300000970,131,"LOW"
300000971,131,"LOW"
300000972,135,"LOW"
300000973,52,"LOW"
300000973,58,"LOW"
300000974,52,"LOW"
300000974,58,"LOW"
300000975,10,"HIGH"
300000976,38,"HIGH"
300000977,37,"HIGH"
300000978,43,"LOW"
300000979,128,"HIGH"
300000980,131,"LOW"
300000981,14,"HIGH"
300000982,131,"LOW"
300000983,57,"HIGH"
300000984,136,"LOW"
300000985,136,"LOW"
300000986,58,"LOW"
300000987,11,"LOW"
